,0,1,2,3
0,"['gateway', 'pundit']","['british', 'rapper', 'whose', 'father', 'awaiting', 'trial', 'manhattan', 'pair', u'u', 'embassy', u'bombing', 'leading', 'suspect', 'barbaric', 'beheading', 'american', 'journalist', 'james', 'foley', 'revealed', 'friday', 'abdelmajed', 'abdel', 'bary', '', 'recently', 'tweeted', 'photo', 'holding', 'severed', 'head', '', 'among', 'three', u'brit', 'identified', 'possibly', 'masked', 'killer', 'known', 'john', 'beatle', 'bary', '24', 'son', 'egyptianborn', 'militant', 'awaiting', 'trial', 'terror', u'charge', 'tied', 'deadly', '1998', u'bombing', u'embassy', 'kenya', 'tanzania', 'also', 'investigation', 'brother', 'british', 'doctor', 'charged', 'kidnapping', 'two', 'western', 'war', u'correspondent', 'former', 'gang', 'member', 'converted', 'islam', 'traveled', 'syria', u'britain', 'telegraph', 'newspaper', 'reported', 'dozen', 'american', 'counterterrorism', u'expert', 'expected', 'fly', 'uk', 'within', u'day', 'help', 'identify', 'foleys', 'killer', u'britain', 'daily', 'mail', 'reported', 'former', u'hostage', 'held', u'isi', 'said', 'one', 'several', u'jihadist', 'nicknamed', 'the', 'beatles', 'due', 'british', u'accent', 'two', u'crony', 'referred', 'george', 'ringo', 'bary', 'went', 'syria', 'last', 'year', 'fight', 'bloody', 'civil', 'war', 'build', 'skin', 'tone', 'accent', 'similar', 'john', 'according', 'telegraph', 'becoming', 'jihadist', 'aspiring', 'rapper', 'west', 'london', 'known', 'l', 'jinny', 'whose', 'music', 'played', 'bbc', 'radio', '1', 'bary', 'also', 'appeared', 'music', u'video', 'posted', 'youtube', u'song', 'titled', 'overdose', 'flying', 'high', 'dreamer', 'reportedly', 'radicalized', u'follower', 'firebrand', 'islamic', 'preacher', 'anjem', 'choudary', 'walked', u'family', 'plush', 'home', 'maida', 'vale', 'district', 'london', 'last', 'year', 'saying', 'leaving', 'everything', 'sake', 'allah', 'earlier', 'month', 'seen', 'photo', 'posted', 'twitter', 'wearing', 'camouflage', 'clothing', 'black', 'balaclava', 'holding', 'severed', 'head', 'left', 'hand', '', 'hand', 'john', 'seen', 'using', 'draw', 'knife', 'across', 'foleys', 'throat', 'execution', 'video', 'according', 'telegraph', 'bary', 'official', 'list', 'british', u'jihadist', 'may', 'john', 'also', 'list', 'razul', 'islam', '21', 'paper', u'say', '2012', u'islam', 'two', 'older', u'brother', '', 'including', 'dr', 'shajul', 'islam', 'suspended', 'physician', u'england', 'national', 'health', 'service', '', 'charged', 'kidnapping', 'two', 'western', 'war', u'correspondent', 'near', 'syrian', 'border', 'turkey', u'brother', 'released', 'last', 'year', 'neither', 'british', 'journalist', 'john', 'cantile', 'dutch', 'photographer', 'jeroen', 'oerlmans', 'appeared', 'testify', 'them', 'another', 'suspect', 'aine', 'davis', '30', 'former', 'drug', 'dealer', 'gang', 'member', 'telegraph', 'said', 'converted', 'islam', 'flew', 'syria', 'wage', 'jihad']",discuss,0.0003445220645517111
1,"['indian', 'civil', 'servant', 'sacked', 'after', '24year', 'sickie']","['indian', 'public', 'official', 'sacked', 'taking', 'leave', '24', u'year', 'ago', 'never', 'returning', 'desk', u'country', 'notoriously', 'workshy', 'bureaucracy', 'urban', 'development', 'ministry', 'said', 'assistant', 'executive', 'engineer', 'ak', 'verma', 'went', 'leave', '1990', 'joining', u'india', 'central', 'public', u'work', 'department', 'cpwd', 'decade', 'earlier', 'verma', 'defied', u'boss', u'order', 'return', 'work', u'request', 'additional', 'leave', 'denied', 'he', 'went', 'seeking', 'extension', 'leave', 'sanctioned', 'defied', u'direction', 'report', 'work', 'government', 'said', 'statement', 'thursday', 'even', 'inquiry', 'found', 'guilty', 'wilful', 'absence', 'duty', '1992', 'took', 'another', '22', u'year', 'intervention', 'cabinet', 'minister', 'remove', 'him', 'government', 'said', 'urban', 'development', 'minister', 'm', 'venkaiah', 'naidu', 'ordered', 'dismissal', 'order', 'streamline', 'functioning', 'cpwd', 'ensure', 'accountability', 'said', u'india', 'civil', u'servant', 'long', 'notorious', 'arriving', 'late', 'taking', 'long', u'lunch', 'spending', u'part', 'day', 'golf', 'course', '2012', 'survey', 'hong', 'kongbased', 'political', 'economic', 'risk', 'consultancy', 'rated', u'india', 'bureaucracy', 'worst', 'among', 'major', 'asian', u'country', 'prime', 'minister', 'narendra', 'modi', 'said', 'shocked', 'saw', u'corridor', 'power', 'moving', 'new', 'delhi', 'following', 'landslide', 'election', 'victory', 'may', 'last', 'year', 'first', u'month', 'office', 'modi', 'developed', 'reputation', 'paying', 'unannounced', u'visit', 'government', u'office', 'fear', 'caught', 'playing', 'truant', 'triggered', 'rise', 'attendance', u'level', 'among', 'civil', u'servant', u'delhi', 'main', 'golf', 'course', 'reportedly', 'largely', 'deserted', 'week', u'day']",agree,0.06557814031839371
2,"['british', 'hostage', 'david', 'haines', 'beheaded', 'islamic', 'state', u'terrorist']","['propaganda', 'video', 'released', u'isi', 'set', 'range', 'international', u'response']",agree,0.09713996946811676
3,"['staff', 'reporter']","['female', 'worker', 'reportedly', u'give', 'fake', u'rating', 'apps', 'physically', 'going', 'handset', 'handset', 'internet', 'photo', 'photo', 'recently', 'uploaded', 'online', 'china', 'showing', 'someone', 'reportedly', 'working', 'array', 'mobile', u'phone', 'gone', 'viral', 'overnight', u'give', 'glimpse', u'china', 'appranking', 'manipulation', 'factory', u'report', 'tencent', 'technology', 'photo', 'posted', u'china', 'weibo', 'microblog', 'woman', 'hundred', 'iphones', 'placed', 'appears', 'giving', 'fake', u'rating', 'apps', 'going', 'phone', 'phone', 'hundred', 'fake', u'rating', 'potential', 'affect', 'top', u'list', u'apple', 'app', 'store', 'created', 'within', 'hour', 'two', 'apple', 'adopted', 'number', u'measure', 'crackdown', 'fake', 'downloads', 'cheating', u'ranking', 'including', 'lowering', 'price', 'apps', '1', 'yuan', 'us016', 'company', u'hope', 'could', 'draw', 'real', u'user', 'rate', 'yet', 'given', 'fact', 'people', 'china', 'physically', 'simulating', 'real', u'user', 'seen', 'leaked', 'photo', 'would', 'tough', 'crack', 'industry', u'number', 'important', 'majority', u'user', 'refer', u'rating', u'come', 'downloading', 'apps', 'better', u'rating', 'much', 'higher', 'chance', 'downloaded']",discuss,7.02261459082365e-05
4,"['cold', 'turkey']","['middle', 'field', 'baking', 'sun', 'cache', u'grenade', u'rocket', u'gun', 'trove', 'attached', 'big', 'black', 'parachute', 'and', 'camera', 'focused', 'shipment', 'seemed', 'moment', 'abandoned', 'see', 'masked', 'man', 'sermonized', 'occasion', 'american', 'airdrop', u'arm', 'said', 'intended', 'kurdish', u'fighter', 'defending', 'city', 'kobane', 'fallen', u'hand', 'islamic', 'state', 'these', 'american', 'aid', u'item', 'dropped', u'atheist', 'the', 'kurdistan', u'worker', 'party', 'militant', 'said', 'video', 'uploaded', 'jihadist', 'social', u'medium', u'account', 'initially', 'reported', 'site', 'intelligence', 'group', 'ammunition', 'military', 'equipment', 'additional', 'equipment', '', 'military', u'weapon', 'american', u'force', 'dropped', 'them', '', 'praise', 'allah', u'spoil', 'mujahideen', 'news', 'accidental', 'airdrop', 'associated', 'press', 'corroborated', 'syrian', 'observatory', 'human', u'right', 'confirmed', 'brought', 'fresh', 'criticism', 'military', 'tactic', '', 'air', 'drop', '', u'official', 'said', 'become', 'substantially', 'accurate', 'past', u'decade', 'still', 'evidently', 'prone', u'screwup', u'screwup', 'popped', 'several', u'time', 'far', 'battle', 'islamic', 'state', 'iraq', 'syria', 'underscoring', u'danger', 'trusting', u'wind', 'carry', 'valuable', u'resource', u'target', 'early', 'august', u'u', 'military', 'dropped', '7000', u'gallon', 'water', '36000', 'packaged', u'meal', 'onto', 'barren', 'mountain', 'near', 'sinjar', 'hiding', 'spot', 'nearly', '40000', 'yazidis', 'fled', 'islamic', 'state', 'threat', 'genocide', 'many', u'package', 'reached', 'intended', u'target', '', 'department', 'defense', 'estimated', '80', 'percent', '', 'did', 'iraqi', u'official', 'said', 'much', u'u', 'aid', 'useless', 'dropped', '15000', u'foot', 'without', u'parachute', 'exploded', 'impact', 'wrote', 'journalist', 'jonathan', 'krohn', 'claimed', 'first', 'western', 'journalist', 'scene', 'washington', u'post', 'liz', 'sly', 'agreed', 'saying', u'drop', 'apparently', 'went', 'awry', 'nbc', 'news', 'reported', 'late', 'last', 'month', 'iraqi', 'military', u'pilot', 'accidentally', 'dropped', 'food', 'water', u'weapon', 'islamic', 'state', u'fighter', 'instead', u'soldier', 'battling', 'retain', 'control', 'anbar', 'province', 'some', u'pilot', 'instead', 'dropping', u'supply', 'area', 'iraqi', 'army', 'threw', 'area', 'controlled', u'isi', u'fighter', 'hakim', 'alzamili', 'said', 'using', 'another', 'name', 'islamic', 'state', 'those', u'soldier', 'deadly', 'need', u'supply', 'wrong', u'plan', u'commander', 'iraqi', 'army', 'lack', 'experience', u'pilot', 'way', 'another', 'helped', u'isi', u'fighter', 'kill', u'soldier', 'another', 'general', 'sheepishly', 'added', 'yes', 'thats', 'happened', 'embarrassing', u'anecdote', 'feed', 'complicated', 'history', 'airdrop', 'still', u'carry', u'risk', 'despite', 'honed', u'decade', 'technological', u'advancement', 'gpsguided', u'parachute', u'there', 'way', 'predict', 'may', 'end', u'weapon', 'going', 'use', 'them', 'going', 'use', 'them', 'greg', 'myre', 'middle', 'east', 'institute', 'told', 'daily', 'sabah', 'that', 'one', u'risk', 'take', 'risk', 'bill', 'clinton', 'willing', 'take', '1993', 'year', 'ordered', 'airdrop', u'ten', u'thousand', 'humanitarian', u'package', 'eastern', 'bosnia', 'despite', 'military', 'consistently', 'arguing', 'involving', u'u', u'troop', u'airdrop', 'hostile', u'zone', 'given', 'fact', 'accuracy', u'drop', 'questionable', 'associated', 'press', 'reported', 'brass', 'turned', 'right', 'one', 'major', 'problem', 'laid', 'bare', 'mission', 'military', u'scientist', 'later', 'said', 'called', 'wind', 'drift', 'the', 'problem', 'identified', 'late', u'90', 'john', 'mcginley', 'scientist', 'researched', 'topic', 'told', 'washington', u'post', 'holly', 'watt', '2008', 'the', 'terrain', 'bosnia', 'meant', 'instead', 'landing', 'one', 'valley', 'cargo', 'could', 'drift', 'another', 'valley', 'held', 'enemy', 'wind', 'drift', 'causing', u'problem', 'research', u'team', 'got', 'work', 'ultimately', 'unveiling', 'windforecast', 'software', 'national', 'oceanic', 'atmospheric', 'administration', 'said', 'increased', u'drop', 'accuracy', '70', 'percent', 'inaccurate', 'wind', u'forecast', 'main', 'culprit', 'missed', u'target', 'dropping', u'supply', u'item', 'high', u'altitude', 'report', 'said', 'almost', 'immediately', 'went', 'use', 'war', 'afghanistan', 'farflung', 'military', u'outpost', 'separated', u'stretch', u'road', 'pockmarked', u'insurgent', u'explosive', 'another', 'way', 'get', u'soldier', 'equipment', 'needed', 'military', u'official', 'thought', 'launched', 'massive', 'increase', u'airdrop', 'weve', 'gotten', 'lot', 'accurate', u'year', 'air', 'force', 'gen', 'arthur', 'lichte', 'told', 'usa', 'today', 'may', 'true', 'following', u'week', 'alleged', 'delivery', 'islamic', 'state', u'there', 'clearly', 'still', 'room', 'work']",agree,0.007026521489024162
5,"['jeh', 'johnson', u'politician', 'shouldnt', 'feed', u'flame', 'fear', u'isi', 'ebola']","['texas', 'national', 'guard', 'soldier', u'scan', 'mexican', 'side', 'usmexico', 'border', 'havana', 'texas', 'john', 'moore', '', 'getty', u'image', 'two', 'republican', u'lawmaker', 'told', 'buzzfeed', 'news', 'wednesday', 'suspected', u'terrorist', 'infiltrated', 'usmexico', 'border', 'many', '10', u'fighter', 'captured', 'homeland', 'security', u'official', 'deny', 'thing', 'happened', 'rep', 'jason', 'chaffetz', 'republican', 'utah', 'said', 'four', 'alleged', 'terror', u'suspect', 'captured', 'sept', '10', 'texas', 'interview', 'wednesday', 'chaffetz', 'said', 'men', 'flew', 'middle', 'eastern', 'country', 'mexico', 'city', 'paid', 'smuggler', 'take', 'across', 'border', 'there', 'men', 'ended', 'safe', 'house', u'immigrant', 'en', 'route', 'new', 'york', 'city', 'chaffetz', 'said', 'captured', 'chaffetz', 'would', 'reveal', 'source', 'information', 'said', 'confirmed', 'government', u'official', 'i', 'informant', 'tell', 'questioned', 'secretary', 'homeland', 'security', 'said', 'i', 'doubt', 'authenticity', 'four', 'alleged', 'terror', u'suspect', u'affiliation', u'group', 'islamic', 'state', 'iraq', 'syria', u'isi', 'chaffetz', 'said', 'added', 'still', 'held', 'texas', 'wednesday', 'youtubecom', 'california', 'rep', 'duncan', 'hunter', 'republican', 'represents', 'san', 'diego', 'county', 'made', u'headline', 'tuesday', 'said', 'fox', 'news', 'greta', 'van', 'susteren', 'asked', 'border', 'patrol', u'terrorist', 'learned', 'several', 'captured', 'hunter', 'claimed', '10', 'terror', u'suspect', 'caught', 'near', 'border', 'including', 'four', 'people', 'allegedly', 'captured', 'september', 'i', 'know', 'least', '10', u'isi', u'fighter', 'caught', 'coming', 'across', 'mexican', 'border', 'texas', 'said', 'program', u'hunter', 'spokesman', 'joe', 'kasper', 'told', 'buzzfeed', 'news', u'congressman', 'assertion', '10', 'terror', u'suspect', 'captured', 'along', 'border', 'included', 'four', 'people', 'described', 'chaffetz', 'kasper', 'claimed', 'four', u'suspect', 'captured', 'within', 'last', '36', u'hour', 'pointed', 'judicial', 'watch', 'story', 'allegedly', 'confirmed', 'recent', u'capture', 'back', 'assertion', 'two', 'additional', u'suspect', 'picked', 'sometime', 'first', 'group', 'september', 'week', 'kasper', 'said', 'department', 'homeland', 'security', 'strongly', 'denied', u'hunter', 'claim', 'terror', u'suspect', 'caught', 'near', 'border', 'reached', 'comment', u'custom', 'border', 'protection', 'referred', 'buzzfeed', 'news', 'department', 'homeland', 'security', 'dhs', 'respond', u'email', 'wednesday', 'however', 'dhs', 'released', 'identical', 'statement', 'new', 'republic', 'abc', 'news', 'denying', u'terrorist', 'coming', 'across', 'border', 'suggestion', u'individual', u'tie', 'isil', 'apprehended', 'southwest', 'border', 'categorically', 'false', 'supported', 'credible', 'intelligence', u'fact', 'ground', 'dhs', 'continues', 'credible', 'intelligence', 'suggest', 'terrorist', u'organization', 'actively', 'plotting', 'cross', 'southwest', 'border', 'hunter', 'isnt', 'buying', 'explanation', 'spokesman', 'told', 'buzzfeed', 'news', 'wednesday', 'evidence', 'reliable', u'source', 'foreign', u'national', 'captured', 'along', 'border', 'kasper', 'said', 'foreign', u'national', 'may', 'technically', u'isi', u'fighter', 'suspected', 'terror', 'group', u'affiliation', 'kasper', 'identify', u'source', 'said', u'hunter', 'office', 'remains', 'convinced', 'lawmaker', 'correct', u'u', 'border', 'patrol', 'vehicle', u'drive', '18foot', 'rusty', 'steel', 'barrier', 'along', 'usmexico', 'border', 'brownsville', 'texas', 'rick', 'wilking', '', 'reuters', 'issue', u'terrorist', 'coming', 'usmexico', 'border', 'contentious', 'increasingly', 'politicized', 'one', 'among', u'claim', u'terrorist', 'using', 'border', 'enter', 'country', 'rep', 'tom', 'cotton', 'republican', 'arkansas', 'said', u'isi', 'may', 'teaming', 'mexican', 'drug', u'cartel', 'audio', 'recorded', 'town', 'hall', 'apparently', 'showed', 'cotton', 'saying', u'isi', 'could', 'potentially', 'attack', 'people', 'arkansas', 'washington', 'post', 'reported', 'tuesday', 'wsoundcloudcom', 'cotton', 'respond', 'buzzfeed', 'news', 'request', 'comment', 'wednesday', 'post', 'asked', u'statement', 'spokesman', 'pointed', 'series', 'conservative', u'website', 'like', 'many', u'claim', 'border', 'terrorism', 'story', u'go', 'back', u'month', 'relies', u'source', 'named', '', 'making', 'difficult', 'verify']",discuss,0.07680490612983704
6,"['confusion', u'swirl', u'detail', 'murky', 'arrest', u'isi', u'leader', 'wife']","['woman', 'detained', 'lebanese', u'authority', 'wife', 'islamic', 'state', 'leader', 'abu', 'bakr', 'albaghdadi', 'sister', 'man', 'convicted', u'bombing', 'southern', 'iraq', u'iraq', 'interior', 'ministry', 'said', 'the', 'one', 'detained', 'lebanese', u'authority', 'saja', 'abdul', 'hamid', 'aldulaimi', 'sister', 'omar', 'abdul', 'hamid', 'aldulaimi', 'detained', u'authority', 'sentenced', 'death', 'participation', '', u'explosion', 'ministry', 'spokesman', 'said', 'wednesday', 'the', u'wife', 'terrorist', 'albaghdadi', 'asmaa', 'fawzi', 'mohammed', 'aldulaimi', 'esraa', 'rajab', 'mahel', 'alqaisi', 'wife', 'name', 'saja', 'aldulaimi', 'said', 'spokesman', 'said', 'saja', 'dulaimi', 'fled', 'syria', u'detainee', u'authority', 'part', 'group', 'female', u'detainee', 'freed', 'exchange', 'release', 'group', u'nun', 'captured', 'islamist', u'rebel', 'syria', 'said', 'security', u'official', 'lebanon', 'said', 'tuesday', 'lebanese', 'army', 'detained', 'wife', 'daughter', 'baghdadi', 'crossed', 'syria', 'late', 'last', 'month', 'picked', 'northern', 'lebanon', 'woman', 'found', 'fake', 'passport', u'official', 'said', u'investigator', 'questioning', 'lebanese', 'defence', 'ministry']",discuss,0.10345400124788284
7,"['obama', 'outraged', 'beheading', u'vow', 'stay', 'course']","['islamic', 'state', 'released', 'video', u'jihadist', 'beheading', 'american', 'journalist', 'james', 'wright', 'foley', 'syria', 'video', 'almost', 'five', u'minute', 'long', 'includes', u'threat', 'president', 'barack', 'obama', 'united', u'state', 'video', 'temporarily', 'available', 'youtube', 'since', 'removed', u'terrorist', 'remind', 'audience', 'obama', 'authorized', 'military', 'action', 'replayed', 'obamas', 'press', 'conference', 'announced', 'airstrikes', 'declaration', 'slippery', 'slope', 'towards', 'new', 'war', 'front', u'muslim', 'foley', 'appears', u'knee', 'orange', 'jumpsuit', u'relay', 'message', u'u', 'government', 'true', 'killer', u'address', 'family', 'well', 'message', 'choppy', u'give', 'appearance', 'reading', u'card', 'placed', 'front', 'camera', 'executioner', 'speaks', 'appears', 'british', 'accent', 'saying', 'many', u'muslim', 'worldwide', 'accepted', 'war', 'is', 'essence', 'war', u'muslim', 'uk', 'one', 'islamic', u'state', 'active', u'target', 'recruitment', 'beheads', 'foley', u'present', 'camera', 'another', 'journalist', 'steven', 'joel', 'soltoff', 'worked', 'time', 'national', 'interest', 'soltoff', 'reported', 'missing', 'middle', 'last', 'year', 'executioner', 'said', u'america', 'next', 'move', 'determine', u'i', 'next', 'move', 'appears', 'threat', 'second', 'journalist', 'foley', 'independent', 'journalist', 'middle', 'east', '2011', 'one', 'four', u'journalist', 'kidnapped', u'qaddafi', u'force', 'libya', 'said', 'interview', 'boston', 'globe', 'you', 'dont', 'want', 'defined', 'guy', 'got', 'captured', '2011', 'believe', 'frontline', 'journalism', 'important', 'spoke', 'northwestern', 'university', 'experience', 'libya', 'family', 'set', 'website', 'help', 'find', 'foley', 'since', 'disappearance', 'syria', 'thanksgiving', '2012']",agree,0.05784061551094055
8,"['mystery', 'man', u'slap', u'shopper', 'around', 'head', 'sneezing']","['police', 'search', 'underway', 'man', u'slap', 'people', 'sneeze', 'police', 'northwest', 'england', 'hunting', 'middleaged', 'man', 'allegedly', 'slapping', u'resident', 'borough', 'carlisle', 'sneeze', 'one', 'reported', u'incident', 'involved', 'man', 'smacking', '82yearold', 'woman', 'broad', 'daylight', 'god', 'bless', 'you', 'mirror', 'teenager', 'woke', 'coma', 'cheese', 'addiction', 'much', u'mother', 'delight', 'couldnt', 'stop', 'swearing', '15yearold', 'boy', 'name', 'kai', 'thomas', 'coma', 'nine', u'day', 'recovering', 'brain', 'bleed', 'woke', 'sheffield', 'hospital', 'left', 'bizarre', 'sideeffects', 'mother', 'told', 'daily', 'mail', 'cant', 'stop', 'eating', 'cheese', 'he', u'munch', 'several', u'block', 'day', 'occasionally', u'toss', 'cereal', 'also', 'apparently', 'cant', 'stop', 'shouting', u'expletive', 'kai', 'goodnatured', 'wellmanned', 'young', 'man', 'mother', 'said', 'he', 'didnt', 'swear', 'minded', u'manner', 'the', 'daily', 'mail', 'nevada', 'lawmaker', 'proposed', 'bill', u'grant', u'pet', 'access', 'medical', 'marijuana', 'democrat', 'tick', 'segerblom', 'nevada', 'lawmaker', 'proposed', 'bill', 'state', 'legislature', 'tuesday', 'would', 'allow', 'access', 'medical', 'marijuana', u'pet', 'according', 'reuters', 'bill', 'would', 'let', u'owner', 'obtain', 'marijuana', 'able', 'get', 'veterinarian', 'confirm', u'pet', 'chronic', 'debilitating', 'medical', 'condition', 'reuters', '104yearold', 'woman', 'claiming', 'dr', 'pepper', 'kept', 'alive', 'long', '104yearold', 'woman', 'texas', 'gave', 'dr', 'pepper', 'pretty', 'great', 'publicity', 'wednesday', 'segment', 'fort', u'worth', 'local', 'cbs', 'station', 'claimed', 'beverage', 'thank', 'longevity', 'people', 'try', 'give', 'coffee', 'breakfast', 'well', 'id', 'rather', 'dr', 'pepper', 'told', 'station', 'i', 'started', 'drinking', '40', u'year', 'ago', 'three', 'day', 'every', 'doctor', u'see', u'say', 'theyll', 'kill', 'you', 'die', 'dont', 'must', 'mistake', 'somewhere', 'cbsdfw', 'thailand', 'taking', 'underboob', 'selfies', 'cause', 'five', u'year', 'prison', 'time', 'culture', 'ministry', 'thailand', 'warned', u'woman', 'monday', 'partake', 'viral', 'trend', 'underboob', 'selfies', 'threatening', 'five', u'year', 'jail', 'good', 'luck', 'policing', 'that', 'thailand', 'when', 'people', 'take', 'underboob', 'selfies', 'one', 'see', u'face', 'ministry', 'spokesman', 'anandha', 'chouchoti', 'told', 'reuters', 'so', u'it', 'like', 'dont', 'know', 'belong', 'to', 'encourages', 'others', 'samereuters']",agree,0.09508327394723892
9,"['islamist', u'website', 'claim', 'israelicanadian', 'woman', 'kidnapped', 'is', 'report']","['federal', 'government', 'working', 'confirm', u'report', 'gill', 'rosenberg', 'canadian', 'citizen', 'captured', 'islamist', u'extremist', 'syria', 'according', 'jerusalem', 'post', u'website', 'known', 'close', u'isi', u'extremist', 'reported', 'capture', 'israelicanadian', 'woman', 'joined', 'kurdish', u'fighter', 'overseas', 'sunday', 'canada', 'pursuing', 'appropriate', u'channel', 'seek', 'information', 'touch', 'local', u'authority', 'spokesman', 'foreign', 'ministry', 'said', 'sunday', 'newspaper', 'said', u'website', 'give', u'detail', 'alleged', 'capture', 'occurred', 'three', 'suicide', u'attack', u'site', 'kurdish', u'fighter', 'holed', 'up', u'clash', u'isi', 'kurdish', u'troop', 'largely', 'focused', 'syrian', 'city', 'kobani', 'near', 'turkish', 'border', 'nownotorious', 'alqaeda', 'splinter', 'group', 'currently', 'control', 'large', u'swath', 'territory', 'syria', 'iraq', u'message', 'concern', 'posted', 'sunday', 'facebook', 'profile', 'belonging', 'gill', 'rosenberg', 'earlier', 'message', 'asked', 'advice', 'joining', 'kurdish', 'army']",discuss,0.10253378748893738
